K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
18-407-221,747-272-519,34.3449,6.1731,0,40.0451,1,0.4729,,,
247-55-439,722-142-183,20.5445,4.8529,0,26.0369,0,-0.6395,,,
48-648-37,601-245-200,23.1514,4.09,0,26.774,1,0.4674,,,
247-294-913,652-961-336,4.2472,5.2616,0,9.5261,0,-0.0173,,,
931-48-37,15-336-361,23.1408,12.7247,0,33.351,1,2.5145,,,
187-301-256,559-67-239,3.6656,7.7016,0,11.3499,1,0.0173,,,
457-187-562,164-317-306,4.7138,15.0363,0,19.1711,1,0.579,,,
180-759-48,830-106-213,22.3273,4.6289,0,26.4487,1,0.5075,,,
338-175-208,315-927-93,3.301,8.1278,0,12.1164,0,-0.6876,,,
608-137-652,145-929-204,6.3308,13.5124,0,19.8149,1,0.0283,,,
70-365-555,16-272-7,3.381,7.1465,0,10.5219,1,0.0056,,,
272-474-648,722-338-233,23.2689,4.5102,0,26.9888,1,0.7903,,,
818-133-626,187-470-336,8.7496,5.1423,0,13.8213,1,0.0706,,,
904-164-236,315-185-298,8.6543,3.1886,0,11.5289,1,0.314,,,
256-815-661,593-661-117,3.9266,4.4839,1.524,6.8825,1,0.004,,,
165-236-872,417-70-179,4.656,24.4955,0,28.3899,1,0.7616,,,
902-724-621,522-573-8,9.1199,23.8237,0,28.823,1,4.1206,,,
30-145-159,21-648-635,9.1002,20.3597,0,28.1052,1,1.3547,,,
436-338-76,961-331-393,5.0272,4.0114,0,9.0425,0,-0.0039,,,
336-603-888,221-505-73,9.4356,5.8563,0,14.8675,1,0.4244,,,
301-601-430,809-746-961,3.4329,4.0459,0,7.4796,0,-0.0008,,,
82-164-407,183-187-469,8.1726,4.3345,0,12.6953,0,-0.1882,,,
245-209-364,181-187-47,4.5388,5.249,0,9.7762,1,0.0116,,,
306-396-817,155-603-433,5.0756,9.0038,0,14.4585,0,-0.3791,,,
169-439-950,120-652-15,9.868,12.4406,0,20.8467,1,1.4619,,,
315-747-15,233-872-93,11.7428,9.48,0,20.0291,1,1.1937,,,
187-126-489,888-113-648,4.4773,10.4776,0,14.9604,0,-0.0055,,,
616-338-747,175-611-924,3.211,4.076,0,7.3019,0,-0.0149,,,
5-913-927,210-566-474,4.113,20.5544,0,24.3709,1,0.2965,,,
18-593-49,616-142-170,34.7507,22.0295,0,44.5375,1,12.2427,,,
300-650-283,106-573-622,4.2109,4.1515,0,8.3639,0,-0.0015,,,
145-86-924,446-400-901,9.7831,3.9592,0,13.7489,0,-0.0066,,,
573-419-137,58-522-372,5.5732,4.4203,0,10.0373,0,-0.0438,,,
300-18-106,523-23-204,34.9278,8.9315,0,39.9796,1,3.8797,,,
28-559-169,183-272-233,13.8912,6.8677,0,20.6431,1,0.1158,,,
294-117-362,35-136-312,4.8168,4.3131,0,9.1396,0,-0.0097,,,
419-393-61,15-528-403,20.0705,11.803,0,28.3983,1,3.4752,,,
528-96-315,809-153-265,3.1818,3.8013,0,6.9582,1,0.0249,,,
961-213-523,888-289-5,3.0918,5.7811,0,8.8838,0,-0.0109,,,
482-365-306,247-317-421,4.165,10.3859,0,14.5562,0,-0.0053,,,
47-474-152,709-5-777,24.7988,4.1707,0,28.009,1,0.9605,,,
523-366-245,746-35-123,7.029,4.1638,0,11.1797,1,0.0131,,,
148-724-913,61-245-214,8.8197,24.0102,0,29.2084,1,3.6215,,,
49-221-115,16-70-165,8.4969,6.5685,0,14.941,1,0.1244,,,
179-16-817,553-650-764,23.0724,4.3115,0,27.3133,1,0.0706,,,
117-316-104,108-648-180,3.9378,3.4769,0,7.3994,1,0.0153,,,
457-61-233,759-608-331,20.6481,3.5596,0,23.6651,1,0.5426,,,
404-93-143,446-294-430,8.119,4.6055,0,13.183,0,-0.4585,,,
433-417-284,104-650-22,9.6502,5.3627,0,15.2635,0,-0.2506,,,
746-137-43,16-482-611,6.3561,4.6416,0,11.0084,0,-0.0107,,,
47-22-366,306-764-722,9.9739,4.3438,0,14.2453,1,0.0724,,,
433-413-553,145-665-208,5.0378,8.8264,0,12.4038,1,1.4604,,,
402-979-904,489-555-353,3.3808,4.1151,0,7.5085,0,-0.0126,,,
241-15-233,137-164-19,16.4293,11.1458,0,27.1211,1,0.454,,,
830-817-312,722-233-145,4.2963,10.2133,0,14.5564,0,-0.0468,,,
86-307-962,358-186-15,3.5349,12.1403,0,15.7386,0,-0.0634,,,
39-58-256,83-361-115,4.0493,8.3939,0,12.4737,0,-0.0305,,,
8-815-247,722-93-155,24.5698,9.9477,0,29.9968,1,4.5207,,,
112-483-469,73-307-221,23.3155,5.1204,0,28.0351,1,0.4008,,,
483-300-120,962-145-283,4.6778,9.5326,0,14.2372,0,-0.0268,,,
118-316-106,247-469-7,4.1424,4.1672,0,8.2868,1,0.0228,,,
888-493-86,396-611-272,3.3668,6.1614,0,9.5152,1,0.013,,,
961-652-488,830-304-626,3.8775,3.8107,0,7.6983,0,-0.0101,,,
336-200-995,245-204-469,4.6959,4.4151,0,9.1056,1,0.0054,,,
75-169-379,429-135-15,22.9875,13.0946,0,31.6494,1,4.4327,,,
75-251-746,47-83-746,20.5676,5.7095,1.7436,25.4707,0,-0.9372,,,
304-419-289,8-635-316,4.9359,24.2513,0,28.8443,1,0.3429,,,
